Name,GEOID,HCSHCP_2023-2024
Rogers Park,1,45.2
Norwood Park,10,52.0
Jefferson Park,11,54.2
Forest Glen,12,73.5
North Park,13,57.6
Albany Park,14,51.3
Portage Park,15,61.3
Irving Park,16,45.7
Dunning,17,49.2
Montclare,18,57.1
Belmont Cragin,19,51.5
West Ridge,2,52.6
Hermosa,20,36.8
Avondale,21,45.8
Logan Square,22,48.5
Humboldt Park,23,57.0
West Town,24,43.4
Austin,25,58.7
West Garfield Park,26,64.4
East Garfield Park,27,47.7
Near West Side,28,51.9
North Lawndale,29,62.7
Uptown,3,45.6
South Lawndale,30,48.6
Lower West Side,31,49.7
Loop,32,42.5
Near South Side,33,59.5
Armour Square,34,38.7
Douglas,35,69.7
Oakland,36,60.2
Fuller Park,37,52.5
Grand Boulevard,38,57.0
Kenwood,39,43.3
Lincoln Square,4,55.4
Washington Park,40,50.5
Hyde Park,41,62.3
Woodlawn,42,55.3
South Shore,43,51.3
Chatham,44,58.0
Avalon Park,45,49.9
South Chicago,46,54.6
Burnside,47,53.8
Calumet Heights,48,52.6
Roseland,49,49.6
North Center,5,67.4
Pullman,50,65.6
South Deering,51,56.5
East Side,52,43.0
West Pullman,53,59.2
Riverdale,54,49.3
Hegewisch,55,53.1
Garfield Ridge,56,55.7
Archer Heights,57,54.1
Brighton Park,58,48.4
McKinley Park,59,59.0
Lake View,6,48.4
Bridgeport,60,39.5
New City,61,48.6
West Elsdon,62,50.6
Gage Park,63,47.4
Clearing,64,57.2
West Lawn,65,57.6
Chicago Lawn,66,59.4
West Englewood,67,52.2
Englewood,68,51.4
Greater Grand Crossing,69,67.0
Lincoln Park,7,59.0
Ashburn,70,52.8
Auburn Gresham,71,55.7
Beverly,72,52.1
Washington Heights,73,63.6
Mount Greenwood,74,51.0
Morgan Park,75,50.5
O'Hare,76,58.0
Edgewater,77,47.7
Near North Side,8,55.5
Edison Park,9,57.8
