Layer,Name,GEOID,POP-W_2019-2023
Community area,Rogers Park,1,"24,221"
Community area,Norwood Park,10,"30,095"
Community area,Jefferson Park,11,"15,305"
Community area,Forest Glen,12,"14,198"
Community area,North Park,13,"7,813"
Community area,Albany Park,14,"15,617"
Community area,Portage Park,15,"29,909"
Community area,Irving Park,16,"23,379"
Community area,Dunning,17,"22,658"
Community area,Montclare,18,"4,496"
Community area,Belmont Cragin,19,"9,550"
Community area,West Ridge,2,"30,314"
Community area,Hermosa,20,"2,659"
Community area,Avondale,21,"13,217"
Community area,Logan Square,22,"36,628"
Community area,Humboldt Park,23,"6,537"
Community area,West Town,24,"54,732"
Community area,Austin,25,"5,574"
Community area,West Garfield Park,26,282
Community area,East Garfield Park,27,"1,353"
Community area,Near West Side,28,"28,136"
Community area,North Lawndale,29,"1,607"
Community area,Uptown,3,"27,858"
Community area,South Lawndale,30,"3,984"
Community area,Lower West Side,31,"7,311"
Community area,Loop,32,"22,011"
Community area,Near South Side,33,"13,761"
Community area,Armour Square,34,"2,232"
Community area,Douglas,35,"1,979"
Community area,Oakland,36,411
Community area,Fuller Park,37,76
Community area,Grand Boulevard,38,"1,846"
Community area,Kenwood,39,"3,491"
Community area,Lincoln Square,4,"25,326"
Community area,Washington Park,40,204
Community area,Hyde Park,41,"11,888"
Community area,Woodlawn,42,"2,572"
Community area,South Shore,43,"1,540"
Community area,Chatham,44,548
Community area,Avalon Park,45,28
Community area,South Chicago,46,"1,337"
Community area,Burnside,47,0
Community area,Calumet Heights,48,54
Community area,Roseland,49,944
Community area,North Center,5,"25,910"
Community area,Pullman,50,900
Community area,South Deering,51,690
Community area,East Side,52,"2,474"
Community area,West Pullman,53,296
Community area,Riverdale,54,29
Community area,Hegewisch,55,"2,886"
Community area,Garfield Ridge,56,"12,755"
Community area,Archer Heights,57,"1,714"
Community area,Brighton Park,58,"2,967"
Community area,McKinley Park,59,"2,143"
Community area,Lake View,6,"75,069"
Community area,Bridgeport,60,"10,410"
Community area,New City,61,"3,961"
Community area,West Elsdon,62,"2,344"
Community area,Gage Park,63,773
Community area,Clearing,64,"8,068"
Community area,West Lawn,65,"3,149"
Community area,Chicago Lawn,66,"1,127"
Community area,West Englewood,67,176
Community area,Englewood,68,300
Community area,Greater Grand Crossing,69,329
Community area,Lincoln Park,7,"52,728"
Community area,Ashburn,70,"3,589"
Community area,Auburn Gresham,71,375
Community area,Beverly,72,"11,051"
Community area,Washington Heights,73,334
Community area,Mount Greenwood,74,"15,095"
Community area,Morgan Park,75,"6,388"
Community area,O'Hare,76,"9,069"
Community area,Edgewater,77,"30,043"
Community area,Near North Side,8,"65,604"
Community area,Edison Park,9,"9,036"
